Restaurant_ID,Restaurant_Name,Cuisine,Restaurant_Rating,Avg_Preparation_Time,Area
R105,Restaurant 105,Fast Food,4.0,32,Banjara Hills
R106,Restaurant 106,Desserts,4.3,22,Ameerpet
R107,Restaurant 107,Biryani,4.8,14,Banjara Hills
R108,Restaurant 108,Pizza,3.4,27,Begumpet
R109,Restaurant 109,Indian,4.2,33,Banjara Hills
R110,Restaurant 110,Fast Food,3.9,14,Mehdipatnam
R111,Restaurant 111,Pizza,4.8,37,Kondapur
R112,Restaurant 112,Pizza,4.3,14,Hitech City
R113,Restaurant 113,Chinese,4.8,37,Madhapur
R114,Restaurant 114,Fast Food,4.1,16,Kukatpally
R115,Restaurant 115,Biryani,4.6,31,Kukatpally
R116,Restaurant 116,South Indian,4.3,39,Secunderabad
R117,Restaurant 117,Chinese,3.8,37,Kukatpally
R118,Restaurant 118,Healthy,4.5,18,Madhapur
R119,Restaurant 119,Fast Food,4.0,17,Banjara Hills
R120,Restaurant 120,South Indian,3.1,15,Gachibowli
R121,Restaurant 121,Chinese,4.1,18,Gachibowli
R122,Restaurant 122,Pizza,3.6,28,Hitech City
R123,Restaurant 123,Fast Food,4.4,34,Gachibowli
R124,Restaurant 124,Fast Food,4.8,19,Ameerpet
R125,Restaurant 125,Desserts,4.3,21,Ameerpet
R126,Restaurant 126,Chinese,4.4,41,Banjara Hills
R127,Restaurant 127,Indian,3.6,25,Secunderabad
R128,Restaurant 128,Fast Food,3.8,37,Hitech City
R129,Restaurant 129,Indian,3.9,34,Madhapur
R130,Restaurant 130,Indian,5.0,35,Kukatpally
R131,Restaurant 131,Biryani,3.9,37,Gachibowli
R132,Restaurant 132,Healthy,4.2,22,Kukatpally
R133,Restaurant 133,Desserts,3.3,28,Ameerpet
R134,Restaurant 134,Desserts,3.9,31,Jubilee Hills
R135,Restaurant 135,Biryani,4.2,29,Secunderabad
R136,Restaurant 136,Indian,4.1,31,Gachibowli
R137,Restaurant 137,Pizza,4.0,32,Madhapur
R138,Restaurant 138,Indian,4.3,15,Jubilee Hills
R139,Restaurant 139,Healthy,4.3,29,Jubilee Hills
R140,Restaurant 140,South Indian,3.6,35,Manikonda
R141,Restaurant 141,South Indian,3.5,33,Jubilee Hills
R142,Restaurant 142,Fast Food,4.4,42,Banjara Hills
R143,Restaurant 143,Chinese,4.5,27,Begumpet
R144,Restaurant 144,Chinese,3.5,22,Secunderabad
R145,Restaurant 145,Chinese,4.4,23,Ameerpet
R146,Restaurant 146,Desserts,3.5,39,Manikonda
R147,Restaurant 147,Healthy,4.0,21,Secunderabad
R148,Restaurant 148,Biryani,4.7,19,Hitech City
R149,Restaurant 149,South Indian,3.4,24,Ameerpet
R150,Restaurant 150,South Indian,4.1,15,Gachibowli
