Delivery_ID,Order_ID,Assigned_Rider_ID,Estimated_Delivery_Min,Actual_Delivery_Min,Restaurant_Prep_Min,Pickup_Delay_Min,Delivery_Delay_Min
D000074,O000076,RIDER1443,22,39,21,8.1,17
D000075,O000077,RIDER1700,47,54,22,3.3,7
D000076,O000078,RIDER2091,29,24,39,4.1,0
D000077,O000079,RIDER1003,36,59,16,1.2,23
D000078,O000080,RIDER1499,21,18,42,0.6,0
D000079,O000081,RIDER1277,29,48,32,2.2,19
D000080,O000082,RIDER0517,19,33,15,6.5,14
D000081,O000083,RIDER0160,32,61,36,1.9,29
D000082,O000084,RIDER1556,33,30,19,1.5,0
D000083,O000085,RIDER2153,36,38,40,2.9,2
D000084,O000086,RIDER1689,25,22,23,3.9,0
D000085,O000088,RIDER0057,29,41,24,2.3,12
D000086,O000089,RIDER1553,27,60,18,5.3,33
D000087,O000090,RIDER0717,33,60,42,0.9,27
D000088,O000091,RIDER2189,35,41,14,7.7,6
D000089,O000092,RIDER0349,19,19,27,1.5,0
D000090,O000093,RIDER1620,27,24,33,3.5,0
D000091,O000094,RIDER2190,33,64,25,2.5,31
D000092,O000095,RIDER0658,24,53,25,1.3,29
D000093,O000096,RIDER1147,39,42,37,1.7,3
D000094,O000097,RIDER2318,56,68,40,1.7,12
D000095,O000098,RIDER1622,46,42,20,3.4,0
D000096,O000099,RIDER2272,34,48,39,2.2,14
D000097,O000100,RIDER1682,28,29,37,1.6,1
D000098,O000101,RIDER0759,27,30,29,5.3,3
D000099,O000102,RIDER2017,26,29,23,0.5,3
D000100,O000103,RIDER0857,20,24,15,4.9,4
D000101,O000105,RIDER1971,24,46,31,14.4,22
D000102,O000106,RIDER0846,33,52,14,2.7,19
D000103,O000107,RIDER1188,25,27,30,0.3,2
D000104,O000108,RIDER1966,33,30,18,7.9,0
D000105,O000109,RIDER0899,70,93,18,1.7,23
D000106,O000111,RIDER2057,64,68,34,0.7,4
D000107,O000112,RIDER1723,38,69,38,4.9,31
D000108,O000113,RIDER0038,31,37,15,8.5,6
D000109,O000114,RIDER1904,31,30,27,2.6,0
D000110,O000115,RIDER2150,38,37,25,3.3,0
D000111,O000116,RIDER1215,24,41,24,11.0,17
D000112,O000117,RIDER1650,23,33,24,1.4,10
D000113,O000118,RIDER2455,22,27,16,1.0,5
D000114,O000119,RIDER1463,32,27,31,2.5,0
D000115,O000120,RIDER1709,69,86,37,1.1,17
D000116,O000122,RIDER0443,25,49,30,1.8,24
D000117,O000123,RIDER2243,33,63,24,2.5,30
D000118,O000124,RIDER1362,52,62,31,4.5,10
D000119,O000126,RIDER1577,25,29,18,2.4,4
D000120,O000127,RIDER2440,39,50,38,4.9,11
D000121,O000128,RIDER2004,34,30,36,11.0,0
D000122,O000129,RIDER0012,21,17,42,7.3,0
D000123,O000130,RIDER0905,37,39,37,0.3,2
D000124,O000131,RIDER1596,31,57,38,6.7,26
D000125,O000132,RIDER2149,20,24,32,3.1,4
D000126,O000133,RIDER0741,28,25,14,3.8,0
D000127,O000134,RIDER1064,34,62,32,1.3,28
D000128,O000135,RIDER1839,28,24,33,2.9,0
D000129,O000136,RIDER0721,21,25,38,4.5,4
D000130,O000137,RIDER2106,22,25,32,0.6,3
D000131,O000138,RIDER1004,30,34,22,1.7,4
D000132,O000139,RIDER1782,27,30,29,1.4,3
D000133,O000140,RIDER2313,22,25,31,1.2,3
D000134,O000141,RIDER1572,22,39,42,1.2,17
D000135,O000142,RIDER0570,25,22,41,5.1,0
D000136,O000143,RIDER0829,44,40,33,1.9,0
D000137,O000144,RIDER2396,32,49,33,0.5,17
D000138,O000145,RIDER0467,27,41,19,4.0,14
D000139,O000146,RIDER0547,33,62,21,0.6,29
D000140,O000147,RIDER0781,25,26,38,1.9,1
D000141,O000148,RIDER0092,17,28,37,1.2,11
D000142,O000149,RIDER0841,28,42,31,6.9,14
D000143,O000150,RIDER0519,35,30,42,3.6,0
D000144,O000151,RIDER0352,29,30,38,4.1,1
D000145,O000152,RIDER1976,41,39,42,2.7,0
D000146,O000153,RIDER0413,27,23,40,2.9,0
D000147,O000154,RIDER2393,70,65,31,1.7,0
D000148,O000155,RIDER2211,37,38,36,0.7,1
D000149,O000156,RIDER0615,30,64,42,2.5,34
D000150,O000157,RIDER1636,36,35,14,3.9,0
D000151,O000158,RIDER2367,30,34,15,0.9,4
D000152,O000159,RIDER0097,26,55,25,3.3,29
D000153,O000160,RIDER0472,25,31,22,0.7,6
D000154,O000161,RIDER1954,33,52,32,3.2,19
D000155,O000162,RIDER1692,26,31,28,7.6,5
D000156,O000163,RIDER0017,32,36,27,6.9,4
D000157,O000164,RIDER2298,24,25,18,0.9,1
D000158,O000165,RIDER2025,28,25,34,2.7,0
D000159,O000166,RIDER2172,59,56,31,5.2,0
D000160,O000167,RIDER1587,33,39,29,1.8,6
D000161,O000168,RIDER2033,27,40,19,1.1,13
D000162,O000169,RIDER1659,36,39,22,0.8,3
D000163,O000170,RIDER2487,21,19,38,4.2,0
D000164,O000171,RIDER0709,19,14,37,5.7,0
D000165,O000172,RIDER1429,35,30,41,1.3,0
D000166,O000173,RIDER0484,48,75,33,2.5,27
D000167,O000174,RIDER0252,26,35,29,9.2,9
D000168,O000175,RIDER1062,55,84,37,0.6,29
D000169,O000176,RIDER0434,45,79,35,6.3,34
D000170,O000177,RIDER1800,32,38,14,7.4,6
D000171,O000178,RIDER0059,39,36,19,1.1,0
D000172,O000179,RIDER1291,60,88,21,6.1,28
D000173,O000180,RIDER0907,48,54,36,0.2,6
D000174,O000181,RIDER2170,50,51,33,3.3,1
D000175,O000182,RIDER1327,22,21,39,3.1,0
D000176,O000183,RIDER0441,30,51,42,1.7,21
D000177,O000184,RIDER1684,26,26,17,6.5,0
D000178,O000185,RIDER0546,35,52,21,0.8,17
D000179,O000186,RIDER1465,29,31,31,2.3,2
D000180,O000187,RIDER0083,35,33,24,3.7,0
D000181,O000188,RIDER0324,28,34,16,6.5,6
D000182,O000189,RIDER1933,27,42,18,6.6,15
D000183,O000190,RIDER0707,36,43,38,7.3,7
D000184,O000192,RIDER0721,33,52,28,2.0,19
D000185,O000193,RIDER0441,23,24,18,2.9,1
D000186,O000194,RIDER0244,31,59,21,4.5,28
D000187,O000195,RIDER1289,32,39,28,1.1,7
D000188,O000197,RIDER0773,24,22,18,11.7,0
D000189,O000198,RIDER0182,24,53,32,5.2,29
D000190,O000199,RIDER0760,35,51,19,2.2,16
D000191,O000200,RIDER1542,29,34,30,1.5,5
D000192,O000201,RIDER2212,25,54,25,2.0,29
D000193,O000202,RIDER0598,40,46,21,3.8,6
D000194,O000203,RIDER0561,24,26,42,0.8,2
D000195,O000204,RIDER1479,35,34,16,11.3,0
D000196,O000205,RIDER1628,23,52,29,0.5,29
D000197,O000206,RIDER0898,45,46,15,4.3,1
D000198,O000207,RIDER1795,35,41,22,9.7,6
D000199,O000208,RIDER0085,42,45,32,0.2,3
D000200,O000209,RIDER1737,40,44,33,1.9,4
D000201,O000210,RIDER1126,44,43,41,0.2,0
D000202,O000211,RIDER0535,30,34,16,1.3,4
D000203,O000212,RIDER1534,34,40,38,3.7,6
D000204,O000213,RIDER2405,21,17,23,1.5,0
D000205,O000214,RIDER2308,22,39,27,2.7,17
D000206,O000215,RIDER1525,41,45,14,7.1,4
D000207,O000216,RIDER0711,36,46,33,0.4,10
D000208,O000217,RIDER1266,42,74,21,3.5,32
D000209,O000218,RIDER0412,27,48,31,10.5,21
D000210,O000219,RIDER0251,18,28,29,4.6,10
D000211,O000220,RIDER0436,29,25,40,5.3,0
D000212,O000223,RIDER0335,38,36,16,0.5,0
D000213,O000225,RIDER2412,22,25,33,1.5,3
D000214,O000227,RIDER2308,52,59,37,3.6,7
D000215,O000228,RIDER2084,34,36,14,7.6,2
D000216,O000230,RIDER1413,27,34,42,1.0,7
D000217,O000231,RIDER0859,62,66,29,2.4,4
D000218,O000232,RIDER0028,25,48,42,3.7,23
D000219,O000233,RIDER1623,23,28,34,1.6,5
D000220,O000234,RIDER2027,32,32,14,3.7,0
D000221,O000235,RIDER1542,25,26,42,1.5,1
D000222,O000236,RIDER0675,31,29,15,2.7,0
D000223,O000237,RIDER0691,49,65,25,7.6,16
D000224,O000238,RIDER1689,46,51,37,12.7,5
D000225,O000239,RIDER1074,35,54,18,0.9,19
D000226,O000240,RIDER0930,28,28,30,2.6,0
D000227,O000241,RIDER1259,27,55,27,6.3,28
D000228,O000242,RIDER2358,34,49,16,1.4,15
D000229,O000243,RIDER0324,31,29,21,0.8,0
D000230,O000244,RIDER0713,25,30,18,5.7,5
D000231,O000245,RIDER2461,21,55,36,0.6,34
D000232,O000246,RIDER1866,28,25,23,0.8,0
D000233,O000247,RIDER1100,42,54,28,1.8,12
D000234,O000248,RIDER2187,49,49,19,3.0,0
D000235,O000249,RIDER0098,39,46,31,0.7,7
D000236,O000250,RIDER1730,46,62,32,1.0,16
D000237,O000251,RIDER0701,32,32,36,2.4,0
D000238,O000253,RIDER1963,43,48,16,6.1,5
D000239,O000254,RIDER2329,29,29,40,4.8,0
D000240,O000255,RIDER1909,20,27,26,4.7,7
D000241,O000256,RIDER1382,61,67,21,1.1,6
D000242,O000257,RIDER1414,18,21,21,2.4,3
D000243,O000258,RIDER1485,70,65,18,7.0,0
D000244,O000259,RIDER1770,18,25,41,7.4,7
D000245,O000260,RIDER1911,34,34,39,0.5,0
D000246,O000261,RIDER0347,23,28,30,1.0,5
D000247,O000262,RIDER1471,39,52,33,0.8,13
D000248,O000263,RIDER0467,29,60,25,6.5,31
D000249,O000264,RIDER0557,37,38,31,2.6,1
D000250,O000265,RIDER2069,18,17,28,5.3,0
D000251,O000266,RIDER0014,29,52,14,0.8,23
D000252,O000267,RIDER0328,28,24,33,4.9,0
D000253,O000268,RIDER2177,42,47,42,1.2,5
D000254,O000269,RIDER0619,30,29,15,4.7,0
D000255,O000270,RIDER1323,47,77,32,1.5,30
D000256,O000271,RIDER1587,29,32,22,1.7,3
D000257,O000272,RIDER1868,22,17,35,3.6,0
D000258,O000273,RIDER2366,44,57,41,0.5,13
D000259,O000274,RIDER1728,25,37,34,1.2,12
D000260,O000275,RIDER1508,24,41,25,3.5,17
D000261,O000276,RIDER2023,23,21,30,8.7,0
D000262,O000277,RIDER1301,26,43,40,3.0,17
D000263,O000278,RIDER1326,27,60,31,1.2,33
D000264,O000279,RIDER1571,29,29,23,3.8,0
D000265,O000280,RIDER1930,26,43,18,2.2,17
D000266,O000281,RIDER1856,35,35,21,0.1,0
D000267,O000282,RIDER0037,33,38,15,0.5,5
D000268,O000283,RIDER1629,32,66,21,1.1,34
D000269,O000284,RIDER1702,39,37,29,4.8,0
D000270,O000285,RIDER2490,37,45,14,4.8,8
D000271,O000287,RIDER1536,25,22,40,1.1,0
D000272,O000288,RIDER0914,39,38,24,8.9,0
D000273,O000289,RIDER2353,20,37,36,2.2,17
D000274,O000290,RIDER0789,41,75,38,3.4,34
D000275,O000291,RIDER0941,31,50,25,8.9,19
D000276,O000292,RIDER1833,30,26,19,1.6,0
D000277,O000293,RIDER1946,31,54,29,5.0,23
D000278,O000294,RIDER2047,36,67,40,0.5,31
D000279,O000295,RIDER1207,38,61,31,0.2,23
D000280,O000296,RIDER1101,31,41,35,12.1,10
D000281,O000297,RIDER0801,35,63,18,9.9,28
D000282,O000298,RIDER0199,27,30,24,4.1,3
D000283,O000299,RIDER2362,31,37,14,1.7,6
D000284,O000300,RIDER0811,23,19,31,0.4,0
D000285,O000301,RIDER1061,32,35,31,0.9,3
D000286,O000302,RIDER1118,47,66,32,7.4,19
D000287,O000303,RIDER2287,25,58,36,8.7,33
D000288,O000304,RIDER1738,29,29,14,0.4,0
D000289,O000305,RIDER0760,24,43,42,7.1,19
D000290,O000306,RIDER0607,38,68,38,1.3,30
D000291,O000307,RIDER0605,24,31,39,1.2,7
D000292,O000308,RIDER1304,33,36,42,7.8,3
D000293,O000309,RIDER1367,26,48,34,1.9,22
D000294,O000310,RIDER1592,26,29,17,1.4,3
D000295,O000311,RIDER1534,27,29,20,3.9,2
D000296,O000312,RIDER0736,25,23,28,1.2,0
D000297,O000313,RIDER0175,33,39,33,4.0,6
D000298,O000314,RIDER0407,25,36,38,1.3,11
D000299,O000315,RIDER0659,27,26,25,3.4,0
D000300,O000316,RIDER1275,28,28,17,1.1,0
D000301,O000317,RIDER1768,24,58,14,3.1,34
D000302,O000318,RIDER1326,40,66,29,6.3,26
D000303,O000319,RIDER0904,20,24,32,1.5,4
D000304,O000320,RIDER0636,39,38,14,4.5,0
D000305,O000321,RIDER0615,34,35,31,1.8,1
D000306,O000322,RIDER1176,23,30,32,3.1,7
D000307,O000323,RIDER0182,29,32,25,9.1,3
D000308,O000325,RIDER0519,46,72,20,4.3,26
D000309,O000326,RIDER0466,23,18,32,3.1,0
D000310,O000327,RIDER0468,39,54,35,3.6,15
D000311,O000328,RIDER0959,24,22,32,1.7,0
D000312,O000329,RIDER1789,46,42,33,2.2,0
D000313,O000330,RIDER1173,38,53,24,0.9,15
D000314,O000331,RIDER1821,28,29,42,3.8,1
D000315,O000333,RIDER1470,40,42,19,2.6,2
D000316,O000334,RIDER1767,21,28,18,0.2,7
D000317,O000335,RIDER1343,27,39,16,5.1,12
D000318,O000336,RIDER0255,37,63,29,9.5,26
D000319,O000337,RIDER1656,28,31,41,7.4,3
D000320,O000338,RIDER0423,70,78,27,1.4,8
D000321,O000339,RIDER1173,48,52,27,1.8,4
D000322,O000340,RIDER0275,20,21,27,0.7,1
D000323,O000341,RIDER2296,30,25,21,3.6,0
D000324,O000342,RIDER1582,39,49,37,13.0,10
D000325,O000343,RIDER0373,20,26,15,1.7,6
D000326,O000344,RIDER2149,19,22,31,2.1,3
D000327,O000345,RIDER1743,32,49,22,1.5,17
D000328,O000346,RIDER0672,37,51,17,7.4,14
D000329,O000347,RIDER1116,48,45,21,0.5,0
D000330,O000348,RIDER0614,36,35,37,4.4,0
D000331,O000349,RIDER2271,24,31,15,1.8,7
D000332,O000350,RIDER0040,29,40,36,7.2,11
D000333,O000351,RIDER1662,50,48,39,3.4,0
D000334,O000352,RIDER2198,38,48,32,3.4,10
D000335,O000353,RIDER0863,35,40,14,6.3,5
D000336,O000354,RIDER0746,43,41,21,2.4,0
D000337,O000355,RIDER2351,26,31,39,1.0,5
D000338,O000356,RIDER0415,35,33,17,9.8,0
D000339,O000357,RIDER0059,31,27,15,0.4,0
D000340,O000358,RIDER2472,28,31,24,7.7,3
D000341,O000359,RIDER1830,23,24,37,1.4,1
D000342,O000360,RIDER0616,28,27,29,2.7,0
D000343,O000361,RIDER0390,32,33,24,0.9,1
D000344,O000363,RIDER1664,24,22,36,2.0,0
D000345,O000364,RIDER1801,18,14,34,2.6,0
D000346,O000365,RIDER1083,48,68,39,3.4,20
D000347,O000366,RIDER1674,38,62,19,1.7,24
D000348,O000367,RIDER0845,39,59,36,1.0,20
D000349,O000368,RIDER0187,32,37,15,3.7,5
D000350,O000369,RIDER2284,30,34,23,1.8,4
D000351,O000370,RIDER0261,25,25,14,1.4,0
D000352,O000371,RIDER2106,20,22,18,0.7,2
D000353,O000372,RIDER0314,27,43,14,5.0,16
D000354,O000373,RIDER1573,47,61,31,1.6,14
D000355,O000374,RIDER1359,27,25,33,1.1,0
D000356,O000375,RIDER0800,48,51,14,1.4,3
D000357,O000376,RIDER0704,31,26,24,1.7,0
D000358,O000377,RIDER0618,27,49,30,5.9,22
D000359,O000378,RIDER2415,25,32,14,2.4,7
D000360,O000379,RIDER0076,29,47,33,2.7,18
D000361,O000380,RIDER1716,34,36,28,5.6,2
D000362,O000381,RIDER1089,21,55,40,3.0,34
D000363,O000382,RIDER0438,24,37,14,0.8,13
D000364,O000383,RIDER0264,36,33,37,0.9,0
D000365,O000384,RIDER0579,31,37,29,2.6,6
D000366,O000385,RIDER0501,46,67,40,2.3,21
D000367,O000386,RIDER1996,18,32,14,3.8,14
D000368,O000387,RIDER0133,31,31,21,1.6,0
D000369,O000388,RIDER0238,35,33,27,0.8,0
D000370,O000389,RIDER1045,31,52,16,2.5,21
D000371,O000390,RIDER1172,34,67,18,5.7,33
D000372,O000391,RIDER0472,28,23,42,7.3,0
D000373,O000392,RIDER0285,45,44,31,6.5,0
D000374,O000393,RIDER2082,24,20,26,3.7,0
D000375,O000395,RIDER0642,31,38,22,5.9,7
D000376,O000396,RIDER0072,29,34,24,4.8,5
D000377,O000397,RIDER0138,27,42,33,0.3,15
D000378,O000398,RIDER1091,24,25,29,3.7,1
D000379,O000399,RIDER0835,37,33,35,2.4,0
D000380,O000400,RIDER0807,26,32,24,0.3,6
D000381,O000401,RIDER1086,31,29,30,7.2,0
D000382,O000403,RIDER0990,20,19,33,1.7,0
D000383,O000404,RIDER0339,31,31,31,0.5,0
D000384,O000405,RIDER1474,39,40,36,4.1,1
D000385,O000406,RIDER0988,29,28,30,0.9,0
D000386,O000407,RIDER0240,23,54,20,2.7,31
D000387,O000408,RIDER1945,45,47,25,8.0,2
D000388,O000409,RIDER1684,27,33,23,1.8,6
D000389,O000410,RIDER1712,34,36,36,6.6,2
D000390,O000411,RIDER2105,35,38,34,2.8,3
D000391,O000412,RIDER0406,38,61,27,1.2,23
D000392,O000413,RIDER2139,22,27,24,1.0,5
D000393,O000414,RIDER2234,30,35,42,2.5,5
D000394,O000415,RIDER2242,17,17,22,1.1,0
D000395,O000416,RIDER0648,26,30,16,0.3,4
D000396,O000418,RIDER0250,29,57,29,0.5,28
D000397,O000419,RIDER0968,31,37,29,2.0,6
D000398,O000420,RIDER0470,23,25,40,1.6,2
D000399,O000421,RIDER2161,46,41,27,0.9,0
D000400,O000422,RIDER0096,22,54,42,4.3,32
D000401,O000423,RIDER1958,35,48,32,6.9,13
D000402,O000424,RIDER2313,42,54,15,2.7,12
D000403,O000425,RIDER0587,32,66,14,1.8,34
D000404,O000426,RIDER2309,38,57,21,3.4,19
D000405,O000427,RIDER0387,45,57,14,3.0,12
D000406,O000428,RIDER1111,36,49,24,5.2,13
D000407,O000429,RIDER0635,27,23,29,1.9,0
D000408,O000430,RIDER0909,27,55,31,1.5,28
D000409,O000431,RIDER1302,35,33,18,0.3,0
D000410,O000432,RIDER0033,21,23,25,2.0,2
D000411,O000433,RIDER0207,30,36,16,5.4,6
D000412,O000434,RIDER1951,38,38,29,1.5,0
D000413,O000435,RIDER1264,22,55,31,7.4,33
D000414,O000437,RIDER1616,24,26,21,1.6,2
D000415,O000438,RIDER2280,22,50,15,2.8,28
D000416,O000439,RIDER0495,60,62,16,5.7,2
D000417,O000440,RIDER2321,44,47,32,4.3,3
D000418,O000441,RIDER1130,25,46,40,5.1,21
D000419,O000442,RIDER1766,31,33,19,1.5,2
D000420,O000443,RIDER2009,24,53,27,0.3,29
D000421,O000444,RIDER0366,22,43,17,2.3,21
D000422,O000445,RIDER0944,48,44,15,2.5,0
D000423,O000446,RIDER1820,22,37,38,2.1,15
D000424,O000447,RIDER1058,32,37,39,1.4,5
D000425,O000448,RIDER1235,29,54,38,1.6,25
D000426,O000449,RIDER1546,36,40,36,1.8,4
D000427,O000450,RIDER2323,53,64,34,0.5,11
D000428,O000451,RIDER0501,32,32,29,1.9,0
D000429,O000452,RIDER0209,36,39,27,1.1,3
D000430,O000453,RIDER2222,27,30,37,3.4,3
D000431,O000454,RIDER1476,37,56,22,0.5,19
D000432,O000455,RIDER0779,35,36,30,1.9,1
D000433,O000456,RIDER2387,28,27,38,4.5,0
D000434,O000457,RIDER2109,29,27,14,2.6,0
D000435,O000458,RIDER1003,26,21,19,1.9,0
D000436,O000459,RIDER2190,33,53,21,10.5,20
D000437,O000460,RIDER0165,32,28,21,0.0,0
D000438,O000461,RIDER2463,32,38,42,0.7,6
D000439,O000462,RIDER1950,48,72,25,0.8,24
D000440,O000463,RIDER2169,34,30,21,4.4,0
D000441,O000464,RIDER1175,43,46,24,1.7,3
D000442,O000465,RIDER1360,39,70,24,1.3,31
D000443,O000466,RIDER0650,33,36,37,2.2,3
D000444,O000467,RIDER0863,35,31,37,2.2,0
D000445,O000468,RIDER1443,33,40,27,2.5,7
D000446,O000469,RIDER0983,53,72,28,4.0,19
D000447,O000472,RIDER1098,30,44,35,1.6,14
D000448,O000474,RIDER1901,44,46,31,5.9,2
D000449,O000475,RIDER1250,43,50,18,6.1,7
D000450,O000476,RIDER0157,30,34,39,1.8,4
D000451,O000477,RIDER1138,35,37,16,0.5,2
D000452,O000478,RIDER2047,25,41,21,1.2,16
D000453,O000479,RIDER1780,41,65,16,1.8,24
D000454,O000480,RIDER1310,44,61,40,1.9,17
D000455,O000481,RIDER2336,27,27,21,9.8,0
D000456,O000482,RIDER1359,32,58,17,7.0,26
D000457,O000483,RIDER1383,26,27,25,0.6,1
D000458,O000484,RIDER2111,40,69,14,6.9,29
D000459,O000486,RIDER0593,29,33,24,1.6,4
D000460,O000487,RIDER0422,25,40,33,1.9,15
D000461,O000488,RIDER0619,20,54,20,1.7,34
D000462,O000489,RIDER1755,28,47,31,1.6,19
D000463,O000490,RIDER0537,30,29,14,7.2,0
D000464,O000491,RIDER2163,32,28,18,0.4,0
D000465,O000493,RIDER1273,22,21,35,0.4,0
D000466,O000494,RIDER0126,21,26,23,2.2,5
D000467,O000495,RIDER1303,40,63,14,3.5,23
D000468,O000496,RIDER0646,61,67,22,0.2,6
D000469,O000497,RIDER0560,29,32,36,5.5,3
D000470,O000498,RIDER2500,53,50,32,1.1,0
D000471,O000499,RIDER2319,34,61,40,4.7,27
D000472,O000500,RIDER0085,26,37,18,1.5,11
D000473,O000501,RIDER0044,33,35,21,4.2,2
D000474,O000502,RIDER2252,23,49,21,0.6,26
D000475,O000503,RIDER1771,32,29,32,0.4,0
D000476,O000504,RIDER1572,26,53,40,4.6,27
D000477,O000505,RIDER0718,26,24,25,1.1,0
D000478,O000506,RIDER1860,31,51,29,8.6,20
D000479,O000507,RIDER1492,26,21,41,3.2,0
D000480,O000508,RIDER2195,50,49,32,2.4,0
D000481,O000510,RIDER2294,22,54,14,1.2,32
D000482,O000511,RIDER1986,27,30,33,10.6,3
D000483,O000512,RIDER0955,28,48,18,1.0,20
D000484,O000513,RIDER1381,35,54,38,3.2,19
D000485,O000514,RIDER0598,19,53,24,2.4,34
D000486,O000515,RIDER1280,37,33,14,3.2,0
D000487,O000516,RIDER1236,25,32,31,4.9,7
D000488,O000517,RIDER2497,28,30,14,10.3,2
D000489,O000518,RIDER2061,37,44,40,1.4,7
D000490,O000519,RIDER0543,43,49,42,3.8,6
D000491,O000520,RIDER1365,33,32,21,1.4,0
D000492,O000521,RIDER1219,25,40,14,4.6,15
D000493,O000522,RIDER1730,38,40,22,2.7,2
D000494,O000524,RIDER0082,31,29,25,4.7,0
D000495,O000525,RIDER1149,51,80,38,1.4,29
D000496,O000526,RIDER2151,30,36,29,3.8,6
D000497,O000527,RIDER0702,34,30,31,5.3,0
D000498,O000528,RIDER2085,29,25,25,0.3,0
D000499,O000529,RIDER0430,34,33,29,3.5,0
D000500,O000531,RIDER0111,37,33,39,1.8,0
D000501,O000532,RIDER1212,35,32,37,0.9,0
D000502,O000533,RIDER1346,41,49,27,1.8,8
D000503,O000534,RIDER1475,32,35,41,0.7,3
D000504,O000536,RIDER1412,33,66,28,0.9,33
D000505,O000537,RIDER2177,36,40,23,11.5,4
D000506,O000538,RIDER1968,27,24,21,8.4,0
D000507,O000539,RIDER0121,24,55,22,1.8,31
D000508,O000540,RIDER2266,36,34,23,1.7,0
D000509,O000541,RIDER1591,33,39,28,3.2,6
D000510,O000542,RIDER0938,50,47,42,1.3,0
D000511,O000543,RIDER0757,24,30,30,1.1,6
D000512,O000545,RIDER1237,36,59,35,1.5,23
